xg,yg,hs,gobs,yr,xm,ym,hdtbm,hnew,gth,fwc,fa,te,ba
      16.047725,      41.560374,     -15.000000,  980379.840000,    1960.000000,  587365.330474, 4601496.858828,     -15.000000,     -15.000000,  980308.550162,       3.326697,      52.543141,      -0.122067,      52.665208
      16.006889,      41.528429,     -15.200000,  980377.530000,    1960.000000,  584001.537050, 4597909.810978,     -15.000000,     -15.200000,  980305.681358,       3.371053,      53.057589,      -0.114535,      53.172124
      15.954943,      41.515929,      -8.800000,  980376.510000,    1960.000000,  579683.145155, 4596472.817710,      -8.250000,      -8.800000,  980304.558868,       1.951662,      54.579469,      -0.151060,      54.730529
      15.943554,      41.539262,      -9.700000,  980380.180000,    1960.000000,  578704.474956, 4599052.870279,      -9.500000,      -9.700000,  980306.654178,       2.151264,      55.954558,      -0.150233,      56.104791
      15.987166,      41.560652,     -14.200000,  980383.950000,    1960.000000,  582315.219813, 4601468.210427,     -13.600000,     -14.200000,  980308.575116,       3.149273,      56.805610,      -0.225226,      57.030836
      15.935498,      41.575652,     -10.000000,  980389.710000,    1960.000000,  577988.776566, 4603085.586279,     -10.200000,     -10.000000,  980309.922349,       2.217798,      62.149853,      -0.265564,      62.415417
      15.938275,      41.601763,     -10.800000,  980398.680000,    1960.000000,  578188.770569, 4605987.043633,     -10.000000,     -10.800000,  980312.267753,       2.395222,      68.597025,      -0.514455,      69.111480
      16.243286,      41.700932,     -16.700000,  980414.510000,    1960.000000,  603447.677891, 4617318.604594,     -17.200001,     -16.700000,  980321.177823,       3.703723,      74.208454,      -0.180662,      74.389117
      16.192173,      41.752598,     -13.100000,  980445.360000,    1960.000000,  599115.281950, 4622994.799772,     -13.400000,     -13.100000,  980325.821396,       2.905315,     101.213289,      -0.658735,     101.872024
      16.224119,      41.792044,     -14.400000,  980449.860000,    1960.000000,  601708.923689, 4627411.629212,     -14.299999,     -14.400000,  980329.367268,       3.193629,     101.879103,      -0.420620,     102.299723
      16.285233,      41.609542,     -22.900000,  980386.300000,    1960.000000,  607089.244334, 4607223.240862,     -24.450001,     -22.900000,  980312.966536,       5.078758,      52.834706,      -0.158243,      52.992949
      16.329124,      41.670098,     -26.900000,  980408.390000,    1960.000000,  610642.742813, 4614001.885137,     -32.099998,     -32.099998,  980318.407053,       7.119131,      67.443816,      -0.062162,      67.505978
      16.389126,      41.726210,     -43.300000,  980419.990000,    1960.000000,  615537.217738, 4620310.694849,     -50.849998,     -50.849998,  980323.449640,      11.277503,      69.842857,      -0.054664,      69.897521
      16.409681,      41.800933,     -55.200000,  980430.300000,    1960.000000,  617110.924633, 4628634.832173,     -65.949997,     -65.949997,  980330.166455,      14.626377,      70.087168,      -0.052866,      70.140034
      16.517185,      41.775099,     -84.700000,  980430.680000,    1960.000000,  626092.808849, 4625918.586651,     -89.400002,     -84.700000,  980327.844009,      18.784750,      68.631242,      -0.360190,      68.991432
      16.543855,      41.420095,     -70.200000,  980377.260000,    1960.000000,  629014.612814, 4586543.429284,     -72.650002,     -70.200000,  980295.955351,      15.568942,      50.315707,      -0.177633,      50.493339
      16.528576,      41.464541,     -72.000000,  980376.610000,    1960.000000,  627650.630093, 4591455.241583,     -73.849998,     -72.000000,  980299.945007,      15.968146,      45.276847,      -0.148904,      45.425751
      16.472185,      41.496485,     -62.200000,  980374.800000,    1960.000000,  622880.922596, 4594920.117771,     -64.300003,     -62.200000,  980302.812980,      13.794704,      42.772317,      -0.154145,      42.926461
      16.417738,      41.531208,     -52.000000,  980377.190000,    1960.000000,  618273.032551, 4598699.262053,     -53.500000,     -52.000000,  980305.930917,      11.532550,      44.306533,      -0.110158,      44.416691
      16.357458,      41.505374,     -39.000000,  980367.350000,    1960.000000,  613289.174874, 4595750.271520,     -40.300003,     -39.000000,  980303.611096,       8.649412,      39.669491,      -0.100091,      39.769582
      16.336068,      41.547319,     -36.100000,  980373.730000,    1960.000000,  611431.988691, 4600379.378713,     -36.250000,     -36.100000,  980307.377747,       8.006251,      42.926002,      -0.033603,      42.959605
      16.266899,      41.527596,     -26.000000,  980368.280000,    1960.000000,  605695.048009, 4598102.696789,     -26.400000,     -26.000000,  980305.606523,       5.766275,      41.487202,      -0.051016,      41.538218
      16.212453,      41.550652,     -20.000000,  980371.290000,    1960.000000,  601116.698168, 4600597.285634,     -20.200001,     -20.000000,  980307.677053,       4.435596,      43.757351,      -0.055393,      43.812744
      16.268566,      41.569541,     -24.600000,  980374.980000,    1960.000000,  605765.717890, 4602761.664986,     -24.950001,     -24.600000,  980309.373546,       5.455783,      44.730671,      -0.063736,      44.794406
      16.368291,      41.601209,     -42.000000,  980394.430000,    1960.000000,  614024.705375, 4606404.521879,     -42.549999,     -42.000000,  980312.217994,       9.314752,      57.477254,      -0.065133,      57.542387
      16.440239,      41.578431,     -60.500000,  980396.120000,    1960.000000,  620062.728354, 4603973.170282,     -60.350002,     -60.500000,  980310.171981,      13.417678,      57.110341,      -0.033130,      57.143471
      16.546354,      41.537320,     -81.200000,  980394.350000,    1960.000000,  628990.797295, 4599561.837275,     -80.500000,     -81.200000,  980306.479730,      18.008520,      54.441750,      -0.087548,      54.529298
      16.644413,      41.495652,     -93.800000,  980391.190000,    1960.000000,  637258.773280, 4595086.803359,     -93.400002,     -93.800000,  980302.738222,      20.802946,      52.228833,      -0.069609,      52.298441
      16.741084,      41.456763,    -103.000000,  980387.740000,    1960.000000,  645415.079794, 4590927.129465,    -105.250000,    -103.000000,  980299.246791,      22.843320,      50.229889,      -0.203700,      50.433589
      16.780531,      41.245372,     -85.400000,  980381.100000,    1960.000000,  649191.848521, 4567524.867545,     -86.500000,     -85.400000,  980280.279156,      18.939995,      66.460848,      -0.151452,      66.612300
      16.783031,      41.306484,     -97.800000,  980380.440000,    1960.000000,  649261.991354, 4574313.894464,    -100.099998,     -97.800000,  980285.760650,      21.690065,      57.569286,      -0.212949,      57.782235
      16.709416,      41.332318,     -89.400000,  980377.280000,    1960.000000,  643042.751341, 4577058.032911,     -92.199997,     -89.400000,  980288.078348,      19.827115,      53.954537,      -0.225657,      54.180194
      16.774974,      41.370651,    -101.000000,  980388.760000,    1960.000000,  648441.710134, 4581424.148012,    -103.550003,    -101.000000,  980291.517943,      22.399760,      59.422297,      -0.225311,      59.647608
      16.823586,      41.706211,    -138.200000,  980438.150000,    1960.000000,  651720.702316, 4618764.674085,    -145.800003,    -138.200000,  980321.652268,      30.649969,      70.427763,      -0.808782,      71.236544
      16.763862,      41.600654,    -108.700000,  980421.100000,    1960.000000,  646991.420416, 4606941.289037,    -112.800003,    -108.700000,  980312.168130,      24.107465,      69.404405,      -0.389376,      69.793780
      16.686082,      41.429819,     -94.000000,  980384.210000,    1960.000000,  640879.441323, 4587844.661279,     -96.250000,     -94.000000,  980296.828108,      20.847302,      51.114590,      -0.191587,      51.306177
      16.611079,      41.431208,     -84.000000,  980379.440000,    1960.000000,  634609.551710, 4587879.503045,     -86.000000,     -84.000000,  980296.952772,      18.629504,      48.437724,      -0.164067,      48.601792
      16.515242,      41.596486,     -98.800000,  980414.590000,    1960.000000,  626280.157600, 4606084.823462,     -79.900002,     -79.900002,  980311.793766,      17.720207,      69.656027,      -0.022514,      69.678542
      16.702748,      41.688155,    -107.000000,  980428.030000,    1960.000000,  641706.424420, 4616553.982163,    -109.449997,    -107.000000,  980320.029626,      23.730439,      68.849935,      -0.290986,      69.140921
      16.770805,      41.789545,    -136.800000,  980441.550000,    1960.000000,  647138.793831, 4627925.556314,    -142.600006,    -136.800000,  980329.142631,      30.339477,      66.647892,      -0.592673,      67.240565
      16.648579,      41.778434,    -100.400000,  980432.060000,    1960.000000,  637006.146042, 4626489.839663,    -103.599998,    -100.400000,  980328.143747,      22.266692,      66.229560,      -0.304101,      66.533661
      16.556909,      41.654821,     -88.300000,  980419.470000,    1960.000000,  629635.875642, 4612623.345558,     -89.199997,     -88.300000,  980317.034421,      19.583157,      67.432423,      -0.093783,      67.526205
      16.441628,      41.639543,     -63.800000,  980420.980000,    1960.000000,  620065.117868, 4610760.055074,     -63.300003,     -63.800000,  980315.661716,      14.149552,      75.748733,      -0.063113,      75.811846
