or,xg,yg,fa,fa_err,xm,ym,hdtbm,te,ba
      16.208333,      16.608333,      41.825000,      66.467995,       0.800056,  633564.644408, 4631596.756591,    -105.449997,      -7.353518,      73.821512
      41.841667,      16.625000,      41.825000,      66.441254,       0.799713,  634948.775511, 4631622.807581,    -107.149994,      -7.497067,      73.938320
     110.237305,      16.641667,      41.825000,      65.857780,       0.795372,  636332.907897, 4631649.127308,    -112.000000,      -7.776291,      73.634072
       7.658496,      16.658333,      41.825000,      65.264801,       0.823775,  637717.041570, 4631675.715778,    -112.849998,      -7.926538,      73.191339
     112.112434,      16.675000,      41.825000,      65.109123,       0.990376,  639101.176560, 4631702.572995,    -115.250000,      -8.112606,      73.221729
      16.225000,      16.691667,      41.825000,      65.675171,       1.003039,  640485.312871, 4631729.698965,    -114.699997,      -8.126198,      73.801369
      41.841667,      16.708333,      41.825000,      66.079124,       0.999841,  641869.450509, 4631757.093693,    -131.350006,      -9.105929,      75.185054
     101.435356,      16.725000,      41.825000,      66.040985,       1.001806,  643253.589503, 4631784.757185,    -136.949997,      -9.623491,      75.664476
       6.711136,      16.741667,      41.825000,      65.607246,       0.995989,  644637.729857, 4631812.689447,    -140.349991,      -9.913245,      75.520491
     102.517738,      16.758333,      41.825000,      64.989632,       0.816345,  646021.871578, 4631840.890482,    -145.199997,     -10.270528,      75.260160
      16.241667,      16.775000,      41.825000,      64.805023,       0.799367,  647406.014693, 4631869.360299,    -148.899994,     -10.612571,      75.417594
      41.841667,      16.791667,      41.825000,      65.385269,       0.799976,  648790.159208, 4631898.098901,    -157.300003,     -11.244932,      76.630201
      94.502480,      16.808333,      41.825000,      66.000771,       0.800003,  650174.305128, 4631927.106295,    -171.750000,     -12.202275,      78.203046
       5.866956,      16.825000,      41.825000,      66.400673,       0.799925,  651558.452483, 4631956.382487,    -184.949997,     -13.184499,      79.585172
      94.472626,      16.841667,      41.825000,      65.559410,       0.799731,  652942.601276, 4631985.927482,    -199.850006,     -14.333177,      79.892587
      16.258333,      15.858333,      41.808333,     142.534302,      46.493488,  571298.344268, 4628852.085290,     637.000000,      65.176556,      77.357746
      41.841667,      15.875000,      41.808333,     151.177689,      46.289917,  572682.790207, 4628866.046747,     485.000000,      50.392234,     100.785454
      90.589005,      15.891667,      41.808333,     160.818237,      46.043594,  574067.236842, 4628880.276743,     491.000000,      51.530593,     109.287644
       5.058113,      15.908333,      41.808333,     171.257797,      45.855896,  575451.684178, 4628894.775281,     441.000000,      46.917531,     124.340267
      90.176643,      15.925000,      41.808333,     181.156357,      45.621582,  576836.132245, 4628909.542364,     560.000000,      60.250026,     120.906331
      16.275000,      15.941667,      41.808333,     190.006088,      45.231968,  578220.581047, 4628924.577995,     597.000000,      63.431014,     126.575074
      41.841667,      15.958333,      41.808333,     196.897293,      44.905121,  579605.030590, 4628939.882176,     714.000000,      76.304618,     120.592675
      88.284477,      15.975000,      41.808333,     201.420853,      40.419662,  580989.480902, 4628955.454912,     752.000000,      81.060994,     120.359858
       4.199605,      15.991667,      41.808333,     203.141373,      35.819168,  582373.931991, 4628971.296204,     764.000000,      82.567390,     120.573983
      87.914543,      16.008333,      41.808333,     202.069626,      31.273010,  583758.383859, 4628987.406056,     803.000000,      86.289678,     115.779948
      16.291667,      16.025000,      41.808333,     198.566544,      26.648882,  585142.836538, 4629003.784472,     753.000000,      80.592894,     117.973649
      41.841667,      16.041667,      41.808333,     192.736816,      22.063318,  586527.290031, 4629020.431454,     776.000000,      82.231541,     110.505275
      85.654320,      16.058333,      41.808333,     185.272079,      20.058022,  587911.744344, 4629037.347006,     689.000000,      72.838952,     112.433128
       3.448514,      16.075000,      41.808333,     176.764587,      18.294170,  589296.199507, 4629054.531131,     635.000000,      66.344234,     110.420354
      85.190353,      16.091667,      41.808333,     167.689957,      16.450869,  590680.655524, 4629071.983833,     574.000000,      60.477187,     107.212770
      16.308333,      16.108333,      41.808333,     158.650085,      14.559942,  592065.112401, 4629089.705115,     433.000000,      45.832840,     112.817245
      41.841667,      16.125000,      41.808333,     150.340942,      12.668428,  593449.570167, 4629107.694980,     383.000000,      40.792855,     109.548087
      82.662903,      16.141667,      41.808333,     142.688568,      11.540007,  594834.028828, 4629125.953433,     371.000000,      39.100601,     103.587967
       3.000793,      16.158333,      41.808333,     135.668365,      10.540220,  596218.488387, 4629144.480477,     253.000000,      25.028673,     110.639693
      82.042198,      16.175000,      41.808333,     128.929092,       9.498892,  597602.948875, 4629163.276115,     113.000000,      10.743095,     118.185998
